T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
13.2,18.2,9.2,1021,92,0.8,7.6,11.1,255.875
11.1,18.3,5,1020.2,80,1.1,8,14.8,217.08333333333334
12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8,229.16666666666666
11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6,264.9166666666667
11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6,404.5
13.9,21.6,7,1019.6,74,0.8,1.1,9.4,188.5
14.9,22.1,8.9,1017.2,78,1,2.8,7.6,164.75
12,22.1,9.6,1019.7,95,0.3,0.4,3.5,376.9166666666667
14.5,21,8.6,1023.2,88,1.3,3.5,7.6,0.0
14.6,22.3,9,1021.2,86,1,4.4,9.4,0.0
13.4,22.3,11.5,1020.6,98,1.4,6.9,13,57.0
11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1,202.91666666666666
14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8,205.125
16.6,24,10.1,1018.8,75,1.3,10,14.8,214.125
14.8,21.1,10,1019.3,86,0.5,3,11.1,315.7916666666667
13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6,322.25
15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6,246.04166666666666
18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6,200.91666666666666
19.7,26.4,15.1,1009.3,72,1.6,15,29.4,99.5
13.8,26.4,9.6,1011.3,88,1,8.1,14.8,143.91666666666666
12.7,19.5,7,1012,66,1.4,9.3,25.9,100.25
15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1,165.0
13.1,22.6,11,1011.8,97,1.1,5.4,11.1,116.45833333333333
12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6,143.0
15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6,231.125
16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4,218.66666666666666
17.2,24.6,9,1014.2,75,1.4,8.9,14.8,211.0
17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6,52.208333333333336
18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4,187.5
18.6,25.3,13,1013.3,80,1.1,7.2,22.2,130.16666666666666
16.3,21.3,12,1015.1,90,1.1,4.3,13,123.125
16.1,21.8,10,1017.1,82,1.3,5.7,11.1,120.91666666666667
17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1,153.625
18.4,25.9,11,1017,65,2.3,6.7,14.8,130.33333333333334
19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1,110.70833333333333
22.3,29,14,1014.6,61,2.3,5,13,138.5
18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3,75.75
19.7,27.6,12,1015.2,66,1.9,5.7,13,146.54166666666666
21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4,116.625
