T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
16.9,25.1,6.6,1021.3,65,1.1,2,7.6,284.79583333333335
15.5,24.1,7.7,1021,71,1.1,3.5,11.1,219.72083333333333
14.9,22.8,8,1018.4,73,1.1,5.9,13,182.1875
18.3,24.7,11.5,1018.1,85,0.5,1.1,7.6,154.03750000000002
16.5,24.7,12,1017.4,82,0.6,8,13,223.20833333333334
16.6,22.2,10.2,1015.4,65,1.8,10,20.6,200.64583333333337
18.2,25.1,12,1014.4,77,0.6,5,11.1,285.22499999999997
15.6,23.2,10.9,1015.6,82,0.6,4.3,9.4,236.82499999999996
13,19,9.6,1016.9,85,0.8,10.7,16.5,276.90833333333336
12.3,19,8.9,1015.8,91,0.5,4.6,9.4,108.0
11.9,15.7,7.5,1018.9,86,0.8,6.1,11.1,107.625
12,17,6.7,1019.8,75,1.3,7.6,13,125.89166666666667
11.7,18,6.4,1017.3,76,0.8,4.4,13,181.01250000000005
14.6,21,6.8,1015.6,81,0.6,2.4,7.6,152.55416666666667
17.7,24,9,1014.5,69,1.4,4.4,9.4,152.32083333333335
17.4,27.2,12.2,1016.4,79,1.1,7.8,18.3,319.7375
15.9,22.4,8.4,1017.6,66,2.4,7.2,16.5,332.7083333333333
15.2,22.6,6.6,1018.2,56,1.9,8.9,22.2,279.59999999999997
12.7,19.5,8,1017.6,69,1.3,8.3,18.3,179.11666666666667
15.6,24.6,10.7,1015.7,81,1.3,2.8,9.4,54.791666666666664
17.1,23.2,9,1017.1,69,1.8,5.9,11.1,93.375
17.6,24,10.1,1014.8,67,1.4,5.9,14.8,103.0
17.2,26,11.5,1014.7,65,2.3,5.7,14.8,132.20833333333334
17.7,24.4,9.7,1017,64,2.1,8,18.3,127.70833333333333
17.4,24.4,10.1,1018.9,61,2.3,6.1,11.1,109.33333333333333
23.1,30,15.6,1014.9,71,1.4,4.1,9.4,56.458333333333336
23.7,29.8,18.7,1014,75,1.4,11.1,18.3,135.83333333333334
20.9,27.8,15.8,1014.4,62,2.6,17.2,27.8,122.5
22.6,30.3,11.5,1015.4,57,2.4,5.4,11.1,69.66666666666667
